code,current,name,name_short,name_tv,gender,function,country_code,country,country_long,nationality,nationality_long,nationality_code,height,weight,disciplines,events,birth_date,birth_place,birth_country,residence_place,residence_country
1677082,TRUE,BEDDOES Alex,BEDDOES A,Alex BEDDOES,Male,Athlete,COK,Cook Islands,Cook Islands,New Zealand,New Zealand,NZL,181,0,['Athletics'],"[""Men's 800m""]",1995-07-09,RAROTONGA,New Zealand,RAROTONGA,New Zealand
1678091,TRUE,CONNOLLY Lanihei,CONNOLLY L,Lanihei CONNOLLY,Female,Athlete,COK,Cook Islands,Cook Islands,New Zealand,New Zealand,NZL,0,0,['Swimming'],"[""Women's 100m Breaststroke""]",2005-12-30,,,,Australia
1733666,TRUE,PINEIRO Steven,PINEIRO S,Steven PINEIRO,Male,Athlete,PUR,Puerto Rico,Puerto Rico,United States,United States of America,USA,0,0,['Skateboarding'],"[""Men's Park""]",1996-11-17,"NEW LONDON, CT",United States,,
1777739,TRUE,TRAN Thi Nhi Yen,TRAN TNY,Thi Nhi Yen TRAN,Female,Athlete,VIE,Vietnam,Vietnam,Vietnam,Vietnam,VIE,172,0,['Athletics'],"[""Women's 100m""]",2005-07-09,,Vietnam,,
1786884,TRUE,JUN Woongtae,JUN W,JUN Woongtae,Male,Athlete,KOR,Korea,Republic of Korea,Korea,Republic of Korea,KOR,0,0,['Modern Pentathlon'],"[""Men's Individual""]",1995-08-01,SEOUL,Korea,SEOUL,Korea
1786890,TRUE,KIM Sunwoo,KIM S,KIM Sunwoo,Female,Athlete,KOR,Korea,Republic of Korea,Korea,Republic of Korea,KOR,0,0,['Modern Pentathlon'],"[""Women's Individual""]",1996-10-07,,Korea,,
1786899,TRUE,SEO Changwan,SEO C,SEO Changwan,Male,Athlete,KOR,Korea,Republic of Korea,Korea,Republic of Korea,KOR,0,0,['Modern Pentathlon'],"[""Men's Individual""]",1997-03-14,,Korea,,
1786902,TRUE,SEONG Seungmin,SEONG S,SEONG Seungmin,Female,Athlete,KOR,Korea,Republic of Korea,Korea,Republic of Korea,KOR,0,0,['Modern Pentathlon'],"[""Women's Individual""]",2003-05-13,DAEGU,Korea,,
1794307,TRUE,TRINH Thu Vinh,TRINH TV,Thu Vinh TRINH,Female,Athlete,VIE,Vietnam,Vietnam,Vietnam,Vietnam,VIE,0,0,['Shooting'],"['10m Air Pistol Women', '25m Pistol Women']",2000-09-21,THANH HOA,Vietnam,THANH HOA,Vietnam
1795986,TRUE,LE Thi Mong Tuyen,LE TMT,Thi Mong Tuyen Le,Female,Athlete,VIE,Vietnam,Vietnam,Vietnam,Vietnam,VIE,0,0,['Shooting'],['10m Air Rifle Women'],2003-02-22,,,HO CHI MINH CITY,Vietnam
