code,current,name,name_short,name_tv,gender,function,country_code,country,country_long,nationality,nationality_long,nationality_code,height,weight,disciplines,events,birth_date,birth_place,birth_country,residence_place,residence_country
1532872,TRUE,ALEKSANYAN Artur,ALEKSANYAN A,Artur ALEKSANYAN,Male,Athlete,ARM,Armenia,Armenia,Armenia,Armenia,ARM,0,0,['Wrestling'],"[""Men's Greco-Roman 97kg""]",1991-10-21,GYUMRI,Armenia,GYUMRI,Armenia
1532873,TRUE,AMOYAN Malkhas,AMOYAN M,Malkhas AMOYAN,Male,Athlete,ARM,Armenia,Armenia,Armenia,Armenia,ARM,0,0,['Wrestling'],"[""Men's Greco-Roman 77kg""]",1999-01-22,YEREVAN,Armenia,YEREVAN,Armenia
1532874,TRUE,GALSTYAN Slavik,GALSTYAN S,Slavik GALSTYAN,Male,Athlete,ARM,Armenia,Armenia,Armenia,Armenia,ARM,0,0,['Wrestling'],"[""Men's Greco-Roman 67kg""]",1996-12-21,,,YEREVAN,Armenia
1532944,TRUE,HARUTYUNYAN Arsen,HARUTYUNYAN A,Arsen HARUTYUNYAN,Male,Athlete,ARM,Armenia,Armenia,Armenia,Armenia,ARM,0,0,['Wrestling'],"[""Men's Freestyle 57kg""]",1999-11-22,MASIS,Armenia,YEREVAN,Armenia
1532945,TRUE,TEVANYAN Vazgen,TEVANYAN V,Vazgen TEVANYAN,Male,Athlete,ARM,Armenia,Armenia,Armenia,Armenia,ARM,0,0,['Wrestling'],"[""Men's Freestyle 65kg""]",1999-10-27,POKR VEDI,Armenia,,Armenia
1532951,TRUE,ARENAS Lorena,ARENAS L,Lorena ARENAS,Female,Athlete,COL,Colombia,Colombia,Colombia,Colombia,COL,162,0,['Athletics'],"[""Women's 20km Race Walk"", 'Marathon Race Walk Relay Mixed']",1993-09-17,PEREIRA,Colombia,MELBOURNE,Australia
1533112,TRUE,McKENZIE Ashley,McKENZIE A,Ashley McKENZIE,Male,Athlete,JAM,Jamaica,Jamaica,Jamaica,Jamaica,JAM,0,0,['Judo'],['Men -60 kg'],1989-07-17,LONDON,Great Britain,CAMBERLEY,Great Britain
1533136,TRUE,BASS BITTAYE Gina Mariam,BASS BITTAYE GM,Gina Mariam BASS BITTAYE,Female,Athlete,GAM,Gambia,Gambia,Gambia,Gambia,GAM,161,0,['Athletics'],"[""Women's 100m"", ""Women's 200m""]",1995-05-03,TUBAKUTA,Gambia,,
1533176,TRUE,CAMARA Ebrahima,CAMARA E,Ebrahima CAMARA,Male,Athlete,GAM,Gambia,Gambia,Gambia,Gambia,GAM,178,0,['Athletics'],"[""Men's 100m""]",1996-09-18,BUNDUNG,Gambia,ANGERS,France
1533188,TRUE,RUEDA SANTOS Lizeth,RUEDA SANTOS L,Lizeth RUEDA SANTOS,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0,0,['Triathlon'],"[""Women's Individual""]",1994-03-07,GUADALAJARA,Mexico,XALAPA,Mexico
1533189,TRUE,TAPIA VIDAL Rosa Maria,TAPIA VIDAL RM,Rosa Maria TAPIA VIDAL,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0,0,['Triathlon'],"[""Women's Individual""]",1997-08-27,HERMOSILLO,Mexico,GUADALAJARA,Mexico
1533190,TRUE,GRAJALES Crisanto,GRAJALES C,Crisanto GRAJALES,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0,0,['Triathlon'],"[""Men's Individual""]",1987-05-06,XALAPA,Mexico,XALAPA,Mexico
1533208,TRUE,MAAROUFOU Hachim,MAAROUFOU H,Hachim MAAROUFOU,Male,Athlete,COM,Comoros,Comoros,Comoros,Comoros,COM,183,0,['Athletics'],"[""Men's 100m""]",1997-02-13,MARSEILLE,France,MARSEILLE,France
1533209,TRUE,SAADI Maesha,SAADI M,Maesha SAADI,Female,Athlete,COM,Comoros,Comoros,Comoros,Comoros,COM,0,0,['Swimming'],"[""Women's 50m Freestyle""]",2007-01-16,VIENNE,France,SAINT-ROMAIN-EN-GAL,France
1533230,TRUE,DIOSDADO Nuria,DIOSDADO N,Nuria DIOSDADO,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0,0,['Artistic Swimming'],"['Team', 'Duet']",1990-08-22,GUADALAJARA,Mexico,MEXICO CITY,Mexico
1533231,TRUE,JIMENEZ Joana,JIMENEZ J,Joana JIMENEZ,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0,0,['Artistic Swimming'],"['Team', 'Duet']",1993-08-19,ECATEPEC DE MORELOS,Mexico,MEXICO CITY,Mexico
1533232,TRUE,SOBRINO Jessica,SOBRINO J,Jessica SOBRINO,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0,0,['Artistic Swimming'],['Team'],1994-05-26,MEXICO CITY,Mexico,MEXICO CITY,Mexico
1533234,TRUE,ALFEREZ Regina,ALFEREZ R,Regina ALFEREZ,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0,0,['Artistic Swimming'],['Team'],1997-12-01,,,MEXICO CITY,Mexico
1533235,TRUE,ARELLANO Fernanda,ARELLANO F,Fernanda ARELLANO,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0,0,['Artistic Swimming'],['Team'],2002-02-28,,,MEXICO CITY,Mexico
1533237,TRUE,TOSCANO Pamela,TOSCANO P,Pamela TOSCANO,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0,0,['Artistic Swimming'],['Team'],2000-01-13,,,GUADALAJARA,Mexico
1533239,TRUE,GONZALEZ Itzamary,GONZALEZ I,Itzamary GONZALEZ,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0,0,['Artistic Swimming'],['Team'],2003-11-14,,,,
1533240,TRUE,RODRIGUEZ Samanta,RODRIGUEZ S,Samanta RODRIGUEZ,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0,0,['Artistic Swimming'],['Team'],1994-12-05,,,,
1533243,TRUE,INZUNZA Glenda,INZUNZA G,Glenda INZUNZA,Female,Alternate Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0,0,['Artistic Swimming'],['Team'],2000-03-12,,,,
1533245,TRUE,SEHEN Sajjad,SEHEN S,Sajjad SEHEN,Male,Athlete,IRQ,Iraq,Iraq,Iraq,Iraq,IRQ,0,0,['Judo'],['Men -81 kg'],1996-03-08,,Iraq,,Iraq
1533359,TRUE,RUBAIAWI Ali Ammar Yusur,RUBAIAWI AAY,Ali Ammar Yusur RUBAIAWI,Male,Athlete,IRQ,Iraq,Iraq,Iraq,Iraq,IRQ,0,0,['Weightlifting'],"[""Men's +102kg""]",2004-08-02,,,BAGHDAD,Iraq
1533364,TRUE,ISMAIL Mohamed,ISMAIL M,Mohamed ISMAIL,Male,Athlete,DJI,Djibouti,Djibouti,Djibouti,Djibouti,DJI,170,0,['Athletics'],"[""Men's 5000m""]",1997-01-01,,Djibouti,ALI SABIEH,Djibouti
1533371,TRUE,HASSAN Ibrahim,HASSAN I,Ibrahim HASSAN,Male,Athlete,DJI,Djibouti,Djibouti,Djibouti,Djibouti,DJI,170,0,['Athletics'],"[""Men's Marathon""]",1997-01-01,,,,Djibouti
1533372,TRUE,WAISS Abdi,WAISS A,Abdi WAISS,Male,Athlete,DJI,Djibouti,Djibouti,Djibouti,Djibouti,DJI,170,0,['Athletics'],"[""Men's 5000m""]",1996-07-03,,Djibouti,,
1533374,TRUE,HASSAN NOUR Samiyah,HASSAN NOUR S,Samiyah HASSAN NOUR,Female,Athlete,DJI,Djibouti,Djibouti,Djibouti,Djibouti,DJI,160,0,['Athletics'],"[""Women's 5000m""]",1999-12-05,,,,
1533378,TRUE,HOUSSEIN BARKAT Houmed,HOUSSEIN BARKAT H,Houmed HOUSSEIN BARKAT,Male,Athlete,DJI,Djibouti,Djibouti,Djibouti,Djibouti,DJI,0,0,['Swimming'],"[""Men's 50m Freestyle""]",2004-04-04,,,DJIBOUTI,Djibouti
1535180,TRUE,BARAT Andy,BARAT A,Andy BARAT,Male,Athlete,COM,Comoros,Comoros,Comoros,Comoros,COM,0,0,['Canoe Slalom'],"[""Men's Kayak Single"", ""Men's Kayak Cross""]",1997-11-29,ANJOUAN,Comoros,,France
1535186,TRUE,MARTINEZ RAMIREZ Miguel Angel,MARTINEZ RAMIREZ M,Miguel Angel MARTINEZ RAMIREZ,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,178,0,['Boxing'],"[""Men's 63.5kg""]",2001-03-17,DURANGO,Mexico,,Mexico
1535187,TRUE,VERDE ALVAREZ Marco Alonso,VERDE ALVAREZ MA,Marco Alonso VERDE ALVAREZ,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,180,0,['Boxing'],"[""Men's 71kg""]",2002-02-11,MAZATLAN,Mexico,MAZATLAN,Mexico
1535191,TRUE,GONZALEZ Alegna,GONZALEZ A,Alegna GONZALEZ,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,158,0,['Athletics'],"[""Women's 20km Race Walk"", 'Marathon Race Walk Relay Mixed']",1999-01-02,OJINAGA,Mexico,MEXICO CITY,Mexico
1535195,TRUE,LOPEZ Jesus Tonatiu,LOPEZ JT,Jesus Tonatiu LOPEZ,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,190,0,['Athletics'],"[""Men's 800m""]",1997-08-02,HERMOSILLO,Mexico,HERMOSILLO,Mexico
1535199,TRUE,PORTILLO Erick,PORTILLO E,Erick PORTILLO,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,190,0,['Athletics'],"[""Men's High Jump""]",2000-10-05,CHIHUAHUA,Mexico,MEXICO CITY,Mexico
1535201,TRUE,MUNOZ Uziel,MUNOZ U,Uziel MUNOZ,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,185,0,['Athletics'],"[""Men's Shot Put""]",1995-09-08,NUEVO CASAS GRANDES,Mexico,MONTERREY,Mexico
1535202,TRUE,del REAL Diego,del REAL D,Diego del REAL,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,185,0,['Athletics'],"[""Men's Hammer Throw""]",1994-03-06,MONTERREY,Mexico,MONTERREY,Mexico
1535203,TRUE,DOCTOR Jose Luis,DOCTOR JL,Jose Luis DOCTOR,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,175,0,['Athletics'],"[""Men's 20km Race Walk""]",1996-06-14,HUIXQUILUCAN,Mexico,MEXICO CITY,Mexico
1535212,TRUE,MORAN Paola,MORAN P,Paola MORAN,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,169,0,['Athletics'],"[""Women's 400m""]",1997-02-25,GUADALAJARA,Mexico,GUADALAJARA,Mexico
1535214,TRUE,GALVAN Laura,GALVAN L,Laura GALVAN,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,162,0,['Athletics'],"[""Women's 5000m""]",1991-10-05,LA SAUCEDA,Mexico,GUANAJUATO,Mexico
1535216,TRUE,CORTES Alma Delia,CORTES AD,Alma Delia CORTES,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,160,0,['Athletics'],"[""Women's 5000m""]",1997-12-26,TULTITLAN,Mexico,TULTITLAN,Mexico
1535217,TRUE,CRISTIAN MOSCOTE Citlali,CRISTIAN MOSCOTE C,Citlali CRISTIAN MOSCOTE,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,154,0,['Athletics'],"[""Women's Marathon""]",1995-04-15,SAN JUAN DE LOS LAGOS,Mexico,ZAPOPAN,Mexico
1535222,TRUE,PALMA OLIVARES Ever Jair,PALMA OLIVARES EJ,Ever Jair PALMA OLIVARES,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,168,0,['Athletics'],['Marathon Race Walk Relay Mixed'],1992-03-18,ZIT?CUARO,Mexico,,Mexico
1535225,TRUE,OETLING RAMIREZ Elena,OETLING RAMIREZ E,Elena OETLING RAMIREZ,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0,0,['Sailing'],"[""Women's Dinghy""]",1993-04-18,CHAPALA,Mexico,CHAPALA,Mexico
1535226,TRUE,AGUILAR CHAVEZ PEON Mariana,AGUILAR CH P,Mariana AGUILAR CHAVEZ PEON,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0,0,['Sailing'],"[""Women's Windsurfing""]",1999-03-12,MEXICO CITY,Mexico,,Mexico
1535252,TRUE,LECHUGA ALANIS Kenia,LECHUGA ALANIS K,Kenia LECHUGA ALANIS,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0,0,['Rowing'],"[""Women's Single Sculls""]",1994-06-26,SANTIAGO,Mexico,MEXICO CITY,Mexico
1535260,TRUE,LOPEZ GARCIA Alexis,LOPEZ GARCIA A,Alexis LOPEZ GARCIA,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0,0,['Rowing'],"[""Lightweight Men's Double Sculls""]",1997-05-01,SAN FELIPE,Mexico,MEXICO CITY,Mexico
1535267,TRUE,CARBALLO NIETO Miguel,CARBALLO NIETO M,Miguel CARBALLO NIETO,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0,0,['Rowing'],"[""Lightweight Men's Double Sculls""]",1992-07-08,LA PAZ,Mexico,MEXICO CITY,Mexico
1535310,TRUE,BLANCO Luisa,BLANCO L,Luisa BLANCO,Female,Athlete,COL,Colombia,Colombia,Colombia,Colombia,COL,0,0,['Artistic Gymnastics'],"['Women', ""Women's All-Around"", ""Women's Balance Beam"", ""Women's Floor Exercise"", ""Women's Uneven Bars"", ""Women's Vault""]",2001-11-18,"LOS ANGELES, CA",United States,"TUSCALOOSA, AL",
1535343,TRUE,WILLARS VALDEZ Randal,WILLARS VALDEZ R,Randal WILLARS VALDEZ,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0,0,['Diving'],"[""Men's 10m Platform"", ""Men's Synchronised 10m Platform""]",2002-04-30,MEXICO CITY,Mexico,MEXICO CITY,Mexico
1535345,TRUE,BERLIN REYES Kevin,BERLIN REYES K,Kevin BERLIN REYES,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0,0,['Diving'],"[""Men's 10m Platform"", ""Men's Synchronised 10m Platform""]",2001-04-25,VERACRUZ,Mexico,MONTERREY,Mexico
1535346,TRUE,OROZCO LOZA Alejandra,OROZCO LOZA A,Alejandra OROZCO LOZA,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0,0,['Diving'],"[""Women's 10m Platform"", ""Women's Synchronised 10m Platform""]",1997-04-19,ZAPOPAN,Mexico,GUADALAJARA,Mexico
1535348,TRUE,AGUNDEZ GARCIA Gabriela,AGUNDEZ GARCIA G,Gabriela AGUNDEZ GARCIA,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0,0,['Diving'],"[""Women's 10m Platform"", ""Women's Synchronised 10m Platform""]",2000-08-04,LA PAZ,Mexico,,Mexico
1535349,TRUE,OLVERA IBARRA Osmar,OLVERA IBARRA O,Osmar OLVERA IBARRA,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0,0,['Diving'],"[""Men's 3m Springboard"", ""Men's Synchronised 3m Springboard""]",2004-06-05,MEXICO CITY,Mexico,,
1535350,TRUE,GARZA PEREZ Eugenio,GARZA PEREZ E,Eugenio GARZA PEREZ,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0,0,['Equestrian'],"['Jumping Individual', 'Jumping Team']",1996-07-23,MONTERREY,Mexico,"WELLINGTON, FL",United States
1535351,TRUE,FERNANDEZ Federico,FERNANDEZ F,Federico FERNANDEZ,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0,0,['Equestrian'],"['Jumping Individual', 'Jumping Team']",1968-03-28,"NAPALUCAN, PUEBLO",Mexico,MEXICO CITY,Mexico
1535354,TRUE,de LARA OJEDA Miguel Alejandro,de LARA OJEDA MA,Miguel Alejandro de LARA OJEDA,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0,0,['Swimming'],"[""Men's 100m Breaststroke"", ""Men's 200m Breaststroke""]",1994-08-09,TORRE?N,Mexico,"BLACKSBURG, VA",United States
1535356,TRUE,MORENO Alexa,MORENO A,Alexa MORENO,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0,0,['Artistic Gymnastics'],"['Women', ""Women's All-Around"", ""Women's Balance Beam"", ""Women's Floor Exercise"", ""Women's Uneven Bars"", ""Women's Vault""]",1994-08-08,MEXICALI,Mexico,TIJUANA,Mexico
1535357,TRUE,SANDOVAL Ahtziri,SANDOVAL A,Ahtziri SANDOVAL,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0,0,['Artistic Gymnastics'],"['Women', ""Women's All-Around"", ""Women's Balance Beam"", ""Women's Floor Exercise"", ""Women's Uneven Bars"", ""Women's Vault""]",1996-10-05,GUADALAJARA,Mexico,GUADALAJARA,Mexico
1535358,TRUE,FLORES Sofia,FLORES S,Sofia FLORES,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0,0,['Rhythmic Gymnastics'],['Group All-Around'],2004-12-20,,Mexico,,Mexico
1535359,TRUE,SALAZAR Kimberly,SALAZAR K,Kimberly SALAZAR,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0,0,['Rhythmic Gymnastics'],['Group All-Around'],2004-04-24,XALAPA,Mexico,,Mexico
1535360,TRUE,TEJEDA Adirem,TEJEDA A,Adirem TEJEDA,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0,0,['Rhythmic Gymnastics'],['Group All-Around'],2002-06-21,,,,
1535361,TRUE,ALCOCER Dalia,ALCOCER D,Dalia ALCOCER,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0,0,['Rhythmic Gymnastics'],['Group All-Around'],2004-01-02,MERIDA,Mexico,,Mexico
1535362,TRUE,GUTIERREZ Julia,GUTIERREZ J,Julia GUTIERREZ,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0,0,['Rhythmic Gymnastics'],['Group All-Around'],2007-09-13,MERIDA,Mexico,,Mexico
1535363,TRUE,HERNANDEZ Emiliano,HERNANDEZ E,Emiliano HERNANDEZ,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0,0,['Modern Pentathlon'],"[""Men's Individual""]",1998-01-27,MEXICO CITY,Mexico,MEXICO CITY,Mexico
1535364,TRUE,CARRILLO Duilio,CARRILLO D,Duilio CARRILLO,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0,0,['Modern Pentathlon'],"[""Men's Individual""]",1997-03-24,GUADALAJARA,Mexico,MEXICO CITY,Mexico
1535365,TRUE,OLIVER Mayan,OLIVER M,Mayan OLIVER,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0,0,['Modern Pentathlon'],"[""Women's Individual""]",1993-07-11,,Mexico,CUAUTITLAN IZCALLI,Mexico
1535366,TRUE,SANSORES Carlos,SANSORES C,Carlos SANSORES,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0,0,['Taekwondo'],['Men +80kg'],1997-06-25,CANCUN,Mexico,CANCUN,Mexico
1535367,TRUE,SOUZA Daniela Paola,SOUZA DP,Daniela Paola SOUZA,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0,0,['Taekwondo'],['Women -49kg'],1999-08-27,"ZAPOPAN, JALISCO",Mexico,TIJUANA,Mexico
1535368,TRUE,CLELAND QUINONEZ Alan,CLELAND QUINONEZ A,Alan CLELAND QUINONEZ,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0,0,['Surfing'],['Men'],2002-06-19,BOCA DE PASCUALES,Mexico,AVECES,Mexico
1535373,TRUE,GRIGORIAN Aram,GRIGORIAN A,Aram GRIGORIAN,Male,Athlete,UAE,UA Emirates,United Arab Emirates,UA Emirates,United Arab Emirates,UAE,0,0,['Judo'],['Men -90 kg'],1998-06-09,MOSCOW,Russian Federation,MOSCOW,Russian Federation
1535374,TRUE,KOSTOEV Dzhafar,KOSTOEV D,Dzhafar KOSTOEV,Male,Athlete,UAE,UA Emirates,United Arab Emirates,UA Emirates,United Arab Emirates,UAE,0,0,['Judo'],['Men -100 kg'],1999-04-28,"NAZRAN, INGUSHETIA",Russian Federation,ABU DHABI,UA Emirates
1535375,TRUE,MAGOMEDOMAROV Magomedomar,MAGOMEDOMAROV M,Magomedomar MAGOMEDOMAROV,Male,Athlete,UAE,UA Emirates,United Arab Emirates,UA Emirates,United Arab Emirates,UAE,0,0,['Judo'],['Men +100 kg'],2001-04-10,,Russian Federation,,UA Emirates
1535376,TRUE,TATALASHVILI Nugzari,TATALASHVILI N,Nugzari TATALASHVILI,Male,Athlete,UAE,UA Emirates,United Arab Emirates,UA Emirates,United Arab Emirates,UAE,0,0,['Judo'],['Men -81 kg'],1990-03-20,TBILISI,Georgia,GORI,Georgia
1535383,TRUE,BISHRELT Khorloodoi,BISHRELT K,Khorloodoi BISHRELT,Female,Athlete,UAE,UA Emirates,United Arab Emirates,UA Emirates,United Arab Emirates,UAE,0,0,['Judo'],['Women -52 kg'],1998-05-29,ARVAIKHEER,Mongolia,ULAANBAATAR,Mongolia
1535385,TRUE,HOUSSEIN Alexandre,HOUSSEIN A,Alexandre HOUSSEIN,Male,Athlete,DJI,Djibouti,Djibouti,Djibouti,Djibouti,DJI,0,0,['Judo'],['Men -73 kg'],1998-03-28,COMPI?GNE,France,PARIS,France
1535395,TRUE,AL SAYEGH Safia,AL SAYEGH S,Safia AL SAYEGH,Female,Athlete,UAE,UA Emirates,United Arab Emirates,UA Emirates,United Arab Emirates,UAE,0,0,['Cycling Road'],"[""Women's Road Race""]",2001-09-23,,,,
1535420,TRUE,VALENCIA Alejandra,VALENCIA A,Alejandra VALENCIA,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0,0,['Archery'],"[""Women's Individual"", ""Women's Team"", 'Mixed Team']",1994-10-17,HERMOSILLO,Mexico,HERMOSILLO,Mexico
1535429,TRUE,RUIZ Angela,RUIZ A,Angela RUIZ,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0,0,['Archery'],"[""Women's Individual"", ""Women's Team""]",2006-07-28,,,MEXICO CITY,Mexico
1535430,TRUE,GRANDE Matias,GRANDE M,Matias GRANDE,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0,0,['Archery'],"[""Men's Individual"", ""Men's Team"", 'Mixed Team']",2004-04-26,GUANAJUATO,Mexico,MEXICO CITY,Mexico
1535433,TRUE,PRIETO Marcela,PRIETO M,Marcela PRIETO,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0,0,['Cycling Road'],"[""Women's Road Race""]",1992-03-11,AGUASCALIENTES,Mexico,,
1535438,TRUE,RAMIREZ RAMOS Edson Ismael,RAMIREZ RAMOS EI,Edson Ismael RAMIREZ RAMOS,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0,0,['Shooting'],"['10m Air Rifle Men', '10m Air Rifle Mixed Team']",2000-07-10,CIUDAD VICTORIA,Mexico,SALTILLO,Mexico
1535439,TRUE,RODRIGUEZ Gabriela,RODRIGUEZ G,Gabriela RODRIGUEZ,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0,0,['Shooting'],['Skeet Women'],1996-12-12,NUEVO LEON,Mexico,SALTILLO,Mexico
1535440,TRUE,ZAVALA VAZQUEZ Alejandra,ZAVALA VAZQUEZ A,Alejandra ZAVALA VAZQUEZ,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0,0,['Shooting'],"['10m Air Pistol Women', '25m Pistol Women']",1984-06-16,GUADALAJARA,Mexico,LEON,Mexico
1535441,TRUE,QUEZADA MARQUEZ Carlos,QUEZADA MARQUEZ C,Carlos QUEZADA MARQUEZ,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0,0,['Shooting'],"['10m Air Rifle Men', '50m Rifle 3 Positions Men']",1999-10-21,GUADALAJARA,Mexico,GUADALAJARA,Mexico
1535442,TRUE,PENAFLOR MOYSEN Aram Michell,PENAFLOR MOYSEN AM,Aram Michell PENAFLOR MOYSEN,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0,0,['Triathlon'],"[""Men's Individual""]",1999-03-11,TOLUCA,Mexico,GUADALAJARA,Mexico
1535444,TRUE,REINOSO Sofia,REINOSO S,Sofia REINOSO,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0,0,['Canoe Slalom'],"[""Women's Kayak Single"", ""Women's Kayak Cross""]",1996-10-23,PUEBLA,Mexico,TLAPACOYAN,Mexico
1535448,TRUE,BRIONES FRAGOZA Beatriz,BRIONES FRAGOZA B,Beatriz BRIONES FRAGOZA,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0,0,['Canoe Sprint'],"[""Women's Kayak Single 500m"", ""Women's Kayak Double 500m""]",1999-02-10,TIJUJANA,Mexico,SULTANA DEL NORTE,Mexico
1535449,TRUE,ALANIS MORALES Karina,ALANIS MORALES K,Karina ALANIS MORALES,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0,0,['Canoe Sprint'],"[""Women's Kayak Single 500m"", ""Women's Kayak Double 500m""]",1993-12-09,MONTERREY,Mexico,,
1535505,TRUE,LINARES Natalia,LINARES N,Natalia LINARES,Female,Athlete,COL,Colombia,Colombia,Colombia,Colombia,COL,171,0,['Athletics'],"[""Women's Long Jump""]",2003-01-03,VALLEDUPAR,Colombia,SANTA MARTA,Colombia
1535506,TRUE,LONGA Ronal,LONGA R,Ronal LONGA,Male,Athlete,COL,Colombia,Colombia,Colombia,Colombia,COL,183,0,['Athletics'],"[""Men's 100m""]",2004-06-30,ISTMINA,Colombia,BOGOTA,Colombia
1535511,TRUE,RUIZ HURTADO Flor Denis,RUIZ HURTADO FD,Flor Denis RUIZ HURTADO,Female,Athlete,COL,Colombia,Colombia,Colombia,Colombia,COL,175,0,['Athletics'],"[""Women's Javelin Throw""]",1991-01-29,PRADERA,Colombia,PALMIRA,Colombia
1535512,TRUE,ORJUELA Angie,ORJUELA A,Angie ORJUELA,Female,Athlete,COL,Colombia,Colombia,Colombia,Colombia,COL,158,0,['Athletics'],"[""Women's Marathon""]",1989-05-09,BOGOTA,Colombia,BOGOTA,Colombia
1535513,TRUE,RENTERIA RENTERIA Tatiana,RENTERIA RENTERIA,Tatiana RENTERIA RENTERIA,Female,Athlete,COL,Colombia,Colombia,Colombia,Colombia,COL,0,0,['Wrestling'],"[""Women's Freestyle 76kg""]",2000-12-22,,,VALLE DEL CAUCA,Colombia
1535514,TRUE,VALDES PANA Angie Paola,VALDES PANA AP,Angie Paola VALDES PANA,Female,Athlete,COL,Colombia,Colombia,Colombia,Colombia,COL,165,0,['Boxing'],"[""Women's 60kg""]",2000-07-14,BARRANQUILLA,Colombia,BARRANQUILLA,Colombia
1535522,TRUE,ARBOLEDA MENDOZA Valeria,ARBOLEDA MENDOZA V,Valeria ARBOLEDA MENDOZA,Female,Athlete,COL,Colombia,Colombia,Colombia,Colombia,COL,164,0,['Boxing'],"[""Women's 57kg""]",2002-04-13,BOGOTA,Colombia,,Colombia
